13,11,15,0,12,2,14,27,17,11,14,9,0,26,6,16,30,5,6,26,22,6,8,10,6,14,21,7,11,7,12,15
28,23,24,21,11,18,30,15,4,9,5,11,5,17,2,27,23,2,1,29,15,26,27,20,12,20,21,19,4,7,6,25
4,4,11,20,29,21,3,23,5,19,4,8,29,29,26,26,1,28,2,4,17,29,11,9,9,7,8,5,29,27,16,22
7,10,16,29,24,19,17,30,8,19,28,15,16,27,24,16,12,19,11,18,30,12,6,27,18,8,29,12,4,19,24,26
22,14,26,12,2,1,28,12,17,1,28,10,6,1,11,7,13,19,18,0,9,27,28,30,13,6,16,17,14,23,13,4
5,8,11,4,28,3,28,13,21,29,24,2,20,28,24,3,9,5,1,1,2,22,20,6,6,24,3,11,1,14,15,21
5,30,2,28,29,0,7,14,21,29,21,13,17,22,21,4,10,8,14,11,11,29,23,22,28,7,14,6,8,15,2,27
30,23,25,28,6,1,16,26,10,13,6,0,29,11,11,12,25,28,21,30,3,10,28,24,24,13,12,17,21,9,14,0
21,12,18,3,26,26,20,21,25,9,22,25,15,18,17,3,13,21,5,15,3,14,5,6,9,24,23,0,0,26,8,28
15,15,13,26,13,4,30,28,23,19,10,11,3,14,12,7,5,16,18,2,3,24,22,4,26,27,25,22,20,17,4,3
5,4,4,14,8,25,2,20,7,29,10,24,24,2,26,0,5,15,28,18,3,18,7,20,1,19,7,7,25,23,7,25
1,18,18,14,16,5,14,15,22,14,23,20,28,18,18,12,14,4,18,30,0,5,2,3,30,30,25,8,26,9,22,27
3,13,21,27,18,3,9,27,25,9,18,27,10,22,16,25,0,25,14,23,2,8,11,10,11,12,1,29,22,17,5,9
27,21,28,16,19,28,14,6,28,14,19,13,27,23,15,10,3,17,22,22,22,3,19,26,21,14,6,12,3,21,21,24
26,10,25,25,5,27,14,28,29,23,27,6,1,21,8,3,8,14,12,8,23,23,0,1,9,26,0,10,20,13,4,24
30,30,25,18,23,10,12,11,21,1,25,30,7,9,24,7,20,25,22,2,15,3,7,17,8,24,18,10,15,2,23,8
26,7,22,4,7,2,11,8,14,23,17,11,26,11,30,16,11,16,0,13,9,28,21,22,1,4,12,16,25,16,11,26
6,27,1,9,23,3,19,15,21,30,2,1,28,15,28,27,2,19,26,4,15,21,18,29,7,19,29,30,1,8,18,4
7,30,30,12,23,15,0,20,18,18,20,20,23,1,24,0,0,2,13,16,19,27,7,22,20,17,20,4,22,3,12,16
12,23,0,19,22,6,2,17,24,16,0,9,21,2,15,29,29,26,24,1,2,17,5,9,13,1,23,30,25,6,30,24
26,20,12,7,26,9,12,11,29,9,11,7,13,5,6,4,15,13,15,13,19,30,10,9,24,19,30,21,0,21,22,4
0,4,12,15,12,21,8,18,27,5,13,1,16,15,19,25,17,10,15,21,3,20,17,25,2,8,25,2,27,6,7,6
22,1,1,23,21,15,3,15,7,7,8,13,25,14,4,15,8,0,8,10,30,19,20,17,28,5,0,1,11,10,26,18
7,29,22,0,5,19,4,18,22,22,5,10,10,2,0,27,23,20,10,29,19,2,6,20,20,4,29,10,1,10,28,29
27,14,10,8,8,23,26,19,2,23,2,9,11,30,30,9,16,6,17,21,1,29,19,22,15,22,5,25,24,6,3,10
16,12,0,15,4,5,23,13,2,26,10,16,0,8,8,19,25,22,9,9,25,29,18,13,28,9,0,10,8,16,5,20
26,25,20,28,14,19,19,1,14,19,20,11,1,16,16,8,8,28,26,0,25,13,20,3,11,9,16,23,23,11,5,17
22,17,30,14,0,24,29,24,28,29,9,9,3,18,4,20,7,2,27,27,0,12,10,1,10,10,23,16,12,24,26,9
24,14,14,30,29,30,22,18,17,13,6,13,23,24,3,25,18,15,24,16,6,25,14,18,7,12,18,13,29,3,28,24
24,4,27,17,13,16,9,3,2,10,16,16,6,8,12,20,24,16,5,1,30,18,5,7,17,6,17,13,19,12,0,5
30,17,17,25,13,19,4,3,12,19,21,17,27,26,17,27,13,5,29,6,3,17,11,5,27,20,20,7,27,27,6,20
