25,3,4,17,17,0,17,12,13,14,6,20,20,11,23,5,24,18,9,22,6,24,10,19,16,16,17
20,4,5,12,3,15,6,5,20,20,24,17,25,8,8,8,0,19,12,1,25,1,4,0,14,3,9
6,10,4,12,1,5,5,25,22,17,17,24,15,11,4,20,18,10,22,23,11,22,12,19,8,18,13
23,12,25,25,20,8,12,4,0,9,12,12,16,22,3,24,4,7,5,10,15,22,19,22,4,18,20
25,0,9,14,8,15,4,4,11,11,18,21,17,25,5,24,22,11,22,22,9,3,25,3,5,15,1
9,8,11,24,10,13,11,15,1,21,13,1,21,7,11,8,10,1,17,17,7,1,20,5,23,3,22
2,2,16,4,21,20,21,4,17,2,22,10,21,2,6,2,4,6,11,23,14,2,16,19,21,11,1
3,22,0,23,16,3,20,21,9,18,14,1,13,11,7,13,14,7,15,7,12,24,23,8,7,3,6
16,18,10,17,24,3,9,17,16,23,3,16,21,19,14,13,14,10,2,19,11,12,25,12,14,19,16
22,22,7,15,0,25,15,15,15,20,20,10,2,12,25,23,9,12,7,16,20,1,25,19,10,19,14
24,8,4,14,6,14,21,2,21,0,25,0,9,22,8,23,6,17,7,23,8,1,16,17,16,12,6
5,16,21,11,21,2,2,14,11,8,18,10,23,15,6,22,5,13,8,12,21,22,2,21,23,2,25
17,15,23,12,8,4,24,18,23,14,7,7,19,14,6,6,1,11,22,6,22,23,3,7,17,2,24
21,15,15,8,0,6,23,2,22,23,13,24,11,18,7,0,6,6,10,20,3,4,3,13,10,5,3
8,7,1,19,0,18,18,0,21,10,19,15,7,10,17,10,20,2,8,20,5,17,20,16,18,20,2
14,24,9,14,5,10,8,24,9,3,16,23,24,10,2,13,2,1,1,14,17,7,8,9,5,14,24
3,2,23,3,2,3,6,24,7,19,13,3,2,18,11,4,21,4,21,15,21,1,12,12,13,2,17
16,24,6,17,9,9,19,0,8,13,13,21,4,16,13,25,8,0,24,17,8,25,22,0,3,8,3
16,20,25,10,6,3,4,16,12,9,15,18,1,23,19,5,5,3,19,1,8,16,9,20,24,16,10
24,25,25,7,20,0,12,23,18,14,6,18,6,7,19,24,12,15,6,0,9,1,22,0,5,0,9
1,7,21,5,18,7,4,8,16,7,5,1,1,5,5,24,8,14,23,13,22,18,19,14,2,16,25
15,22,0,25,3,21,7,4,6,12,11,2,17,25,1,13,6,24,18,13,2,22,23,16,1,12,21
12,11,19,13,13,18,19,19,1,15,14,10,4,9,0,7,13,19,23,12,3,25,15,24,11,10,0
11,17,19,4,0,12,20,13,11,24,5,18,15,9,17,25,18,0,15,6,2,25,9,9,15,18,18
21,7,14,14,21,20,15,10,14,1,5,10,23,4,13,0,15,5,25,6,10,21,19,17,13,19,11
9,5,4,9,10,20,20,20,16,11,11,13,9,5,19,4,7,22,0,23,13,14,9,18,11,18,16
