31,40,13,24,40,23,40,21,2,33,22,9,20,2,23,5,35,8,36,16,19,8,9,7,10,11,6,20,26,35,31,13,22,5,17,10,28,25,28,38,7,4
40,28,35,18,21,2,25,5,30,18,5,38,1,12,33,7,39,18,9,1,2,9,11,15,18,32,15,10,8,11,13,15,13,22,6,21,4,10,21,11,8,17
36,12,25,35,9,9,36,35,12,12,40,13,40,7,15,16,21,17,37,8,0,5,3,33,13,39,21,35,26,9,16,3,34,31,32,35,19,35,9,28,40,7
1,23,39,1,3,1,13,27,17,28,30,34,25,31,25,16,0,29,10,2,3,9,8,39,19,16,26,39,21,27,27,36,37,9,17,11,11,18,21,38,26,28
18,24,12,20,14,13,39,36,3,20,12,11,27,29,15,7,31,29,18,1,22,6,8,26,20,23,6,34,1,30,34,37,26,4,22,19,3,14,36,34,11,18
16,0,4,16,12,35,9,40,33,32,31,20,37,38,19,4,28,24,34,19,26,10,37,20,40,19,11,12,24,13,3,24,10,13,13,19,28,0,7,6,26,5
26,15,11,16,18,37,32,29,30,0,19,25,8,16,33,37,39,15,3,40,2,34,20,15,31,4,36,30,19,39,37,25,19,19,13,19,31,26,9,3,37,2
37,1,22,10,18,20,27,10,14,0,27,9,36,11,21,7,20,4,29,13,12,11,23,35,25,38,3,18,7,21,28,17,22,5,35,12,17,35,31,24,24,37
28,18,20,34,4,15,36,10,36,9,30,5,33,6,24,9,35,35,29,21,19,2,36,32,26,26,31,38,15,37,4,14,13,16,22,28,14,14,24,16,3,26
37,22,26,0,3,13,23,5,26,14,8,9,37,8,14,1,1,31,24,19,36,4,8,33,1,22,4,25,14,6,19,26,3,7,4,30,15,36,1,11,11,2
18,20,35,13,10,34,20,29,30,21,40,35,34,31,17,18,24,34,33,36,25,2,16,30,38,36,23,17,29,9,31,33,19,1,18,11,5,25,27,12,39,29
32,24,18,3,12,31,2,25,17,10,37,3,2,14,32,31,39,30,34,29,26,26,6,17,39,17,29,12,5,2,15,39,9,14,29,21,24,25,22,28,39,39
28,33,32,34,4,19,16,21,38,0,22,5,8,1,33,5,20,22,7,25,39,14,35,32,30,28,11,9,29,16,5,0,25,30,27,5,6,19,28,28,32,4
18,17,3,36,40,15,17,27,9,21,14,4,1,33,16,5,24,14,18,5,25,16,2,7,15,28,20,38,15,19,29,22,2,9,9,38,6,21,35,23,13,28
25,0,24,38,10,0,8,2,24,34,34,30,39,33,8,10,37,39,12,34,34,17,31,30,9,38,7,5,37,39,13,40,40,6,23,11,33,1,23,16,2,8
36,6,14,39,32,32,28,32,11,3,39,24,5,6,34,20,0,3,35,0,23,31,12,8,25,3,29,8,21,15,19,4,40,17,24,34,16,30,37,25,33,4
1,32,12,23,26,10,16,24,3,35,32,16,24,24,28,6,20,18,35,32,3,33,17,28,13,40,39,24,32,28,28,30,22,22,24,39,24,1,13,1,23,19
7,33,40,11,0,6,13,11,5,11,20,16,38,30,35,10,21,23,30,40,13,18,12,26,17,39,21,12,19,5,36,19,19,8,40,14,26,26,33,14,40,14
7,34,23,13,5,30,39,12,7,11,17,23,32,34,33,2,34,9,28,38,29,7,20,14,28,2,7,17,24,21,1,17,32,24,26,2,20,26,7,2,24,27
3,2,30,17,29,16,15,2,2,17,4,33,3,16,37,28,38,4,18,10,11,4,24,17,9,2,8,29,29,9,1,29,35,30,20,17,20,31,8,22,37,16
27,6,12,2,6,22,9,29,36,36,33,14,23,6,13,39,32,25,36,26,11,34,12,17,29,10,27,40,20,40,6,12,17,36,0,27,40,21,2,30,27,16
1,27,40,36,7,38,8,33,11,3,23,37,26,22,4,33,18,27,32,27,4,6,14,32,28,19,27,33,16,10,22,34,32,26,1,26,8,4,10,25,37,22
35,29,10,1,11,27,6,21,22,1,23,25,31,24,0,31,10,9,9,24,10,33,37,17,32,38,12,37,10,10,28,9,37,20,9,18,14,29,35,19,11,33
40,7,32,37,3,16,22,27,15,0,38,6,30,20,15,30,1,6,13,39,12,13,6,7,40,21,21,7,39,30,4,5,33,33,16,3,10,22,39,10,11,27
21,11,32,20,8,9,30,6,12,36,27,23,21,40,19,1,26,34,14,29,23,26,37,32,32,40,39,10,30,14,18,38,18,24,27,7,15,37,38,23,3,26
31,11,3,24,12,35,20,23,10,35,17,8,31,34,19,15,40,40,14,15,7,11,23,14,8,22,31,37,17,26,37,39,39,31,26,2,27,22,28,26,19,29
1,14,38,36,8,15,21,30,23,33,9,20,15,34,35,38,14,40,25,14,28,0,31,27,33,14,38,10,37,20,40,20,32,25,15,11,16,20,33,20,35,3
36,11,22,36,17,15,6,19,38,2,27,35,12,36,22,39,21,10,31,35,27,9,17,33,0,0,7,16,4,28,29,39,4,4,25,14,21,15,5,5,39,32
1,14,6,5,24,21,34,25,24,33,38,1,22,39,15,7,27,0,40,0,31,31,0,22,39,39,8,13,0,29,20,21,15,0,34,14,15,12,38,17,36,13
14,16,22,15,34,22,6,12,23,29,16,7,6,27,5,4,21,7,40,10,4,1,38,32,3,20,7,16,13,28,25,35,2,34,22,7,27,14,34,31,20,18
29,19,18,11,6,11,22,6,29,6,31,6,7,40,7,6,19,26,23,32,16,33,8,34,14,22,18,30,3,8,21,13,30,27,17,2,33,21,16,36,19,0
0,6,12,20,15,18,25,21,31,29,23,27,34,31,5,28,17,16,14,5,37,38,35,36,34,0,32,1,24,40,9,36,19,18,7,0,14,12,4,6,25,25
18,6,36,4,3,11,35,35,19,9,15,32,8,31,33,1,25,23,10,7,22,20,35,5,36,8,2,9,24,24,27,37,12,8,6,30,38,36,8,15,10,17
18,7,24,17,38,6,7,4,23,22,35,8,36,31,37,37,5,38,15,28,24,13,7,30,28,2,40,12,16,40,13,5,1,12,4,5,15,17,18,40,5,0
31,0,32,26,26,23,13,21,8,22,19,25,21,11,11,16,29,3,13,7,6,20,33,1,1,28,38,5,0,34,28,22,25,17,37,8,0,34,29,21,29,0
4,27,27,32,29,14,39,5,11,3,3,36,18,25,11,13,31,29,12,34,3,12,18,15,13,2,13,30,40,21,5,33,20,12,39,2,31,0,18,21,3,36
2,33,39,31,36,10,38,29,28,9,22,27,18,11,30,10,23,37,12,23,33,28,23,9,26,1,7,1,5,3,19,3,21,0,3,14,21,38,40,11,23,19
24,38,6,25,18,2,39,4,13,2,30,25,12,30,34,23,10,15,30,8,15,37,19,0,22,5,39,9,17,2,23,32,1,38,9,37,27,8,15,36,3,4
35,27,32,32,29,5,23,28,32,37,26,0,28,10,9,4,4,4,10,5,26,15,20,20,25,12,37,30,20,13,0,7,1,32,25,5,8,28,38,6,3,27
22,30,0,24,29,2,27,26,34,29,18,30,30,33,0,18,37,34,33,32,4,40,17,23,1,8,8,23,15,35,16,38,2,25,35,13,19,1,31,7,31,36
14,30,12,34,35,18,38,38,2,23,4,23,0,38,35,38,26,13,25,10,27,25,10,12,16,16,31,25,27,14,16,8,17,13,36,18,31,19,4,10,24,29
